tweet_id,timestamp,text,rating_numerator,rating_denominator,name,dog_stage,favorite_count,retweet_count,source_device,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,p_class
892420643555336193,2017-08-01 16:23:56+00:00,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13.0,10.0,Phineas,,39467,8853,Twitter for iPhone,Orange,0.0970486,False,Bagel,0.0858511,False,Banana,0.07611,False,not dog
892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,10.0,Tilly,,33819,6514,Twitter for iPhone,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,dog
891815181378084864,2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10.0,Archie,,25461,4328,Twitter for iPhone,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,dog
891689557279858688,2017-07-30 15:58:51+00:00,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,10.0,Darla,,42908,8964,Twitter for iPhone,Paper Towel,0.1702779999999999,False,Labrador Retriever,0.1680859999999999,True,Spatula,0.0408359,False,hybrid
891327558926688256,2017-07-29 16:00:24+00:00,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,,41048,9774,Twitter for iPhone,Basset,0.555712,True,English Springer,0.2257699999999999,True,German Short-Haired Pointer,0.175219,True,dog
891087950875897856,2017-07-29 00:08:17+00:00,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10.0,None,,20562,3261,Twitter for iPhone,Chesapeake Bay Retriever,0.425595,True,Irish Terrier,0.116317,True,Indian Elephant,0.0769021999999999,False,hybrid
890971913173991426,2017-07-28 16:27:12+00:00,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10.0,Jax,,12041,2158,Twitter for iPhone,Appenzeller,0.341703,True,Border Collie,0.199287,True,Ice Lolly,0.193548,False,hybrid
890729181411237888,2017-07-28 00:22:40+00:00,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,None,,56848,16716,Twitter for iPhone,Pomeranian,0.566142,True,Eskimo Dog,0.1784059999999999,True,Pembroke,0.0765069,True,dog
890609185150312448,2017-07-27 16:25:51+00:00,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,,28226,4429,Twitter for iPhone,Irish Terrier,0.4875739999999999,True,Irish Setter,0.193054,True,Chesapeake Bay Retriever,0.118184,True,dog
890240255349198849,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10.0,Cassie,doggo,32467,7711,Twitter for iPhone,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,dog
